[10488:17152:0720/101206.362:WARNING:chrome_command_line_pref_store.cc(118)] Additional command-line proxy switches specified when --no-proxy-server was also specified.
[10488:17152:0720/101206.372:WARNING:chrome_command_line_pref_store.cc(118)] Additional command-line proxy switches specified when --no-proxy-server was also specified.
[10488:17152:0720/101206.533:WARNING:chrome_command_line_pref_store.cc(118)] Additional command-line proxy switches specified when --no-proxy-server was also specified.
[10488:1520:0720/101206.606:ERROR:component_installer.cc(324)] Failed to read manifest or verify installation for Adobe Flash Player (C:\Users\archi.maheshwari\git\GIT_demo\GIT_Project\.provarCaches\.chromeProfiles\profile0\PepperFlash\32.0.0.403).: The system cannot find the file specified. (0x2)
[10488:23356:0720/101206.606:ERROR:component_installer.cc(324)] Failed to read manifest or verify installation for pnacl (C:\Users\archi.maheshwari\git\GIT_demo\GIT_Project\.provarCaches\.chromeProfiles\profile0\pnacl\0.57.44.2492).: The system cannot find the file specified. (0x2)
[10488:26760:0720/101206.610:ERROR:component_installer.cc(324)] Failed to read manifest or verify installation for File Type Policies (C:\Users\archi.maheshwari\git\GIT_demo\GIT_Project\.provarCaches\.chromeProfiles\profile0\FileTypePolicies\42).: The system cannot find the file specified. (0x2)
[10488:23688:0720/101206.611:ERROR:component_installer.cc(324)] Failed to read manifest or verify installation for Third Party Module List (C:\Users\archi.maheshwari\git\GIT_demo\GIT_Project\.provarCaches\.chromeProfiles\profile0\ThirdPartyModuleList64\2018.8.8.0).: The system cannot find the file specified. (0x2)
[10488:20848:0720/101206.606:ERROR:component_installer.cc(324)] Failed to read manifest or verify installation for Subresource Filter Rules (C:\Users\archi.maheshwari\git\GIT_demo\GIT_Project\.provarCaches\.chromeProfiles\profile0\Subresource Filter\Unindexed Rules\9.13.0).: The system cannot find the file specified. (0x2)
[10488:1756:0720/101206.609:ERROR:component_installer.cc(324)] Failed to read manifest or verify installation for CRLSet (C:\Users\archi.maheshwari\git\GIT_demo\GIT_Project\.provarCaches\.chromeProfiles\profile0\CertificateRevocation\6004).: The system cannot find the file specified. (0x2)
[10488:27584:0720/101206.610:ERROR:component_installer.cc(324)] Failed to read manifest or verify installation for Certificate Error Assistant (C:\Users\archi.maheshwari\git\GIT_demo\GIT_Project\.provarCaches\.chromeProfiles\profile0\SSLErrorAssistant\7).: The system cannot find the file specified. (0x2)
[10488:28660:0720/101206.612:ERROR:component_installer.cc(324)] Failed to read manifest or verify installation for Intervention Policy Database (C:\Users\archi.maheshwari\git\GIT_demo\GIT_Project\.provarCaches\.chromeProfiles\profile0\InterventionPolicyDatabase\2018.9.6.0).: The system cannot find the file specified. (0x2)
[10488:22320:0720/101206.617:ERROR:component_installer.cc(324)] Failed to read manifest or verify installation for Crowd Deny (C:\Users\archi.maheshwari\git\GIT_demo\GIT_Project\.provarCaches\.chromeProfiles\profile0\Crowd Deny\2020.7.12.1142).: The system cannot find the file specified. (0x2)
[10488:18036:0720/101206.612:ERROR:component_installer.cc(324)] Failed to read manifest or verify installation for Safety Tips (C:\Users\archi.maheshwari\git\GIT_demo\GIT_Project\.provarCaches\.chromeProfiles\profile0\SafetyTips\1789).: The system cannot find the file specified. (0x2)
[10488:17152:0720/101208.019:ERROR:CONSOLE(1)] "Refused to execute inline event handler because it violates the following Content Security Policy directive: "script-src 'strict-dynamic' 'sha256-1+GSDjMMklBjZY0QiWq+tGupCvajw4Xbn46ect2mZgM=' 'sha256-2mX1M62Fd0u8q0dQY2mRsK5S1NS9jJuQAvyE8tD0dkQ=' 'sha256-EtIKSV82ixJHE3AzqhoiVbUGKG+Kd8XS0fFToow29o0=' 'sha256-HqdPsO6hNmT/mfSeGdcX3eEGrZVva7AKD2Z2+1ujCZ8=' 'sha256-yRYEEgxOlReCDbng6tDVSK7zG75cmupC9JEV1PmCFSc=' 'sha256-IEF9PjeyU0vsr61C8cm3JQOerOYWdBsaGddCSPp6tZs=' 'sha256-C9ctze2LhHtwL+fcPVPkmVRYjQgXTGs4xfBAzlQwGWk=' 'sha256-sZdi2Fiyeqyo9qHie7uTErwlvZHYh+OBD9+WPwFPsQ4='". Either the 'unsafe-inline' keyword, a hash ('sha256-...'), or a nonce ('nonce-...') is required to enable inline execution.
", source: chrome-search://local-ntp/local-ntp.html (1)
[10488:17152:0720/101411.779:INFO:CONSOLE(0)] "A cookie associated with a cross-site resource at http://salesforce.com/ was set without the `SameSite` attribute. A future release of Chrome will only deliver cookies with cross-site requests if they are set with `SameSite=None` and `Secure`. You can review cookies in developer tools under Application>Storage>Cookies and see more details at https://www.chromestatus.com/feature/5088147346030592 and https://www.chromestatus.com/feature/5633521622188032.", source: https://c.ap16.content.force.com/secur/contentDoor?startURL=%2Flightning%2Fapp%2F06m2w000001LC5VAAW&sid=00D2w000004N1MG%21AQwAQEr4cwFX6mt7eQPolicdciCantn1XGOhelDGA0QHQn4rRGjsVihK8UC6PQr0QKv4LGN0fYlP7Hr0TvXkvNGkoJUXMl7d&skipRedirect=1&lm=eyJlbmMiOiJBMjU2R0NNIiwiYXVkIjoiMDBEMncwMDAwMDROMU1HIiwia2lkIjoie1widFwiOlwiMDBEMncwMDAwMDROMU1HXCIsXCJ2XCI6XCIwMkcydzAwMDAwMDFFZ1BcIixcImFcIjpcImNvbnRlbnRkb29ydXNlcnRyYW5zaWVudGtleWVuY3J5cHRcIixcInVcIjpcIjAwNTJ3MDAwMDAzQ1hYV1wifSIsImNyaXQiOlsiaWF0Il0sImlhdCI6MTU5NTIyMDI0NTU4MiwiZXhwIjowfQ%3D%3D..Vwan-30Gu-kS0mqb.buONp9KchqmgxEi8iWthBA%3D%3D.oD25MavQzNqzYcHSoTgrEA%3D%3D (0)
[10488:17152:0720/101422.305:INFO:CONSOLE(0)] "A cookie associated with a cross-site resource at http://salesforce.com/ was set without the `SameSite` attribute. A future release of Chrome will only deliver cookies with cross-site requests if they are set with `SameSite=None` and `Secure`. You can review cookies in developer tools under Application>Storage>Cookies and see more details at https://www.chromestatus.com/feature/5088147346030592 and https://www.chromestatus.com/feature/5633521622188032.", source: https://ap16.lightning.force.com/lightning/page/home (0)
[10488:17152:0720/101425.945:INFO:CONSOLE(0)] "A cookie associated with a cross-site resource at http://salesforce.com/ was set without the `SameSite` attribute. A future release of Chrome will only deliver cookies with cross-site requests if they are set with `SameSite=None` and `Secure`. You can review cookies in developer tools under Application>Storage>Cookies and see more details at https://www.chromestatus.com/feature/5088147346030592 and https://www.chromestatus.com/feature/5633521622188032.", source: https://ap16.lightning.force.com/lightning/o/Account/list?filterName=Recent (0)
[10488:17152:0720/101427.234:INFO:CONSOLE(38)] "[object Object]", source: https://ap16.lightning.force.com/libraries/instrumentation/beaconLib/BeaconLibrary.js (38)
[10488:17152:0720/101432.474:INFO:CONSOLE(1374)] "", source:  (1374)
[10488:17152:0720/101432.686:INFO:CONSOLE(1374)] "", source:  (1374)
[10488:17152:0720/101432.825:INFO:CONSOLE(1374)] "", source:  (1374)
[10488:17152:0720/101433.222:INFO:CONSOLE(1374)] "", source:  (1374)
[10488:17152:0720/101433.303:INFO:CONSOLE(1374)] "", source:  (1374)
[10488:17152:0720/101437.221:INFO:CONSOLE(38)] "[object Object]", source: https://ap16.lightning.force.com/libraries/instrumentation/beaconLib/BeaconLibrary.js (38)
[10488:17152:0720/101529.292:INFO:CONSOLE(1374)] "[object HTMLDivElement]", source:  (1374)
[10488:17152:0720/101529.467:INFO:CONSOLE(1374)] "[object HTMLDivElement]", source:  (1374)
[10488:17152:0720/101531.621:INFO:CONSOLE(38)] "[object Object]", source: https://ap16.lightning.force.com/libraries/instrumentation/beaconLib/BeaconLibrary.js (38)
[10488:17152:0720/101710.916:WARNING:pref_notifier_impl.cc(40)] Pref observer for media_router.cast_allow_all_ips found at shutdown.
